선수,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid_new
김준태,포수,,7,1,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,10835,6500,2021,타자,-0.001,17.0,13.0,3.0,1.0,94.1,9.0,0.0,,-0.45,,,0.43,-0.22,,-0.17,-0.43,0.17,-0.01,-0.017,108358.0
김건형,우익수,,11,11,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,14779,3000,2021,타자,-0.147,10.0,9.0,1.0,0.0,100.0,1.06,-1.62,0.4,0.12,,,,,,-1.1,-14.34,-0.39,-1.49,-0.109,147798.0
알몬테,좌익수,,35,33,,,,,,,,,241.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,14752,52500,2021,타자,-0.371,55.0,52.0,1.0,2.0,96.4,1.98,-1.67,-0.44,-0.28,,,,,,-2.4,-5.76,-1.34,-3.74,-0.238,147528.0
안영명,투수,,35,0,,,,,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,10600,7000,2021,타자,,8.0,1.0,7.0,0.0,100.0,2.04,,,,,,,,,0.0,0.0,,,0.0,106008.0
김민수,투수,,55,1,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,11317,7000,2021,타자,,15.0,6.0,7.0,2.0,86.7,2.02,,,,,,,,,0.0,0.0,,,0.0,113178.0
이대은,투수,,31,0,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,11907,5000,2021,타자,,6.0,4.0,2.0,0.0,100.0,1.74,,,,,,,,,0.0,0.0,,,0.0,119078.0
유원상,투수,,11,0,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,10604,8000,2021,타자,,2.0,0.0,2.0,0.0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,106048.0
심재민,투수,,28,2,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,11311,6300,2021,타자,,6.0,2.0,4.0,0.0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,113118.0
데스파이네,투수,,33,33,,,,,,,,,188.2,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,14602,50000,2021,타자,,46.0,9.0,36.0,1.0,97.8,2.15,,,,,,,,,0.0,,,,0.0,146028.0
하준호,투수,,10,0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,10304,6000,2021,타자,,2.0,0.0,2.0,0.0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,103048.0
이창재,투수,,32,0,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,11320,4700,2021,타자,,1.0,0.0,1.0,0.0,100.0,0.34,,,,,,,,,0.0,0.0,,,0.0,113208.0
조현우,투수,,48,0,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,11316,7500,2021,타자,,17.0,4.0,11.0,2.0,88.2,4.35,,,,,,,,,0.0,0.0,,,0.0,113168.0
김재윤,투수,,65,0,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,11489,17000,2021,타자,,10.0,1.0,9.0,0.0,100.0,1.34,,,,,,,,,0.0,0.0,,,0.0,114898.0
박시영,투수,,48,0,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,KT 위즈,10737,6800,2021,타자,,7.0,2.0,4.0,1.0,85.7,1.2,,,,,,,,,0.0,0.0,,,0.0,107378.0
강민호,포수,,119,110,,,,,,,,,934.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,10232,50000,2021,타자,1.11,856.0,800.0,49.0,7.0,99.2,8.18,0.14,,-0.47,,0.14,-1.2,2.4,,0.28,0.33,10.92,11.2,0.028,102323.0
김도환,포수,,25,13,,,,,,,,,113.2,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,14115,5200,2021,타자,0.119,92.0,88.0,3.0,1.0,98.9,7.21,0.27,,-0.13,,,-0.21,0.29,,0.12,0.71,1.08,1.2,0.012,141153.0
김상수,2루수,,130,125,,,,,,,,,1039.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,10320,25000,2021,타자,0.061,612.0,241.0,359.0,12.0,98.0,5.2,-1.7,,-1.18,-1.42,,,,,-4.3,-4.69,4.91,0.61,-0.426,103203.0
이성곤,1루수,,2,1,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,한화 이글스,11206,5400,2021,타자,0.048,8.0,7.0,1.0,0.0,100.0,14.4,0.52,,0.0,,,,,,0.53,1.23,-0.04,0.49,0.052,112063.0
김민수,포수,,46,19,,,,,,,,,201.1,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,11266,4700,2021,타자,0.031,192.0,176.0,13.0,3.0,98.4,8.45,-0.26,,-0.85,,-0.04,1.42,-2.82,,-1.71,-5.22,2.02,0.31,-0.169,112663.0
김응민,포수,,1,1,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,10890,4900,2021,타자,0.015,4.0,4.0,0.0,0.0,100.0,5.14,0.0,,0.02,,,0.0,0.12,,0.11,15.25,0.05,0.15,0.01,108903.0
권정웅,포수,,2,1,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,12529,4000,2021,타자,0.004,2.0,2.0,0.0,0.0,100.0,6.0,,,0.01,,,,0.01,,0.02,1.4,0.02,0.04,0.002,125293.0
이학주,유격수,,64,47,,,,,,,,,401.2,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,14114,7000,2021,타자,-0.026,223.0,81.0,131.0,11.0,95.1,4.75,-2.27,,-1.35,-0.01,,,,,-3.63,-7.91,3.36,-0.27,-0.36,141143.0
구자욱,우익수,,130,130,,,,,,,,,1085.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,10892,36000,2021,타자,-0.064,259.0,247.0,9.0,3.0,98.8,2.12,3.89,1.18,0.0,,,,,,5.07,5.25,-5.71,-0.64,0.503,108923.0
김동엽,좌익수,,36,25,,,,,,,,,193.2,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,12548,21000,2021,타자,-0.235,41.0,39.0,1.0,1.0,97.6,1.86,-0.94,-0.6,0.18,,,,,,-1.37,-2.85,-1.0,-2.37,-0.135,125483.0
피렐라,좌익수,,38,37,,,,,,,,,295.1,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,14757,50000,2021,타자,-0.332,63.0,61.0,2.0,0.0,100.0,1.92,-2.73,0.72,0.27,,,,,,-1.74,-1.79,-1.61,-3.35,-0.172,147573.0
오재일,1루수,,117,113,,,,,,,,,936.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,10400,60000,2021,타자,-0.552,918.0,864.0,52.0,2.0,99.8,8.81,3.34,,0.78,,-0.36,,,,3.75,4.5,-9.32,-5.57,0.372,104003.0
최채흥,투수,,26,20,,,,,,,,,122.1,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,13156,16000,2021,타자,,32.0,9.0,23.0,0.0,100.0,2.35,,,,,,,,,0.0,,,,0.0,131563.0
이재익,투수,,11,0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,13244,3200,2021,타자,,1.0,0.0,1.0,0.0,100.0,0.9,,,,,,,,,0.0,0.0,,,0.0,132443.0
문용익,투수,,22,0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,12885,3000,2021,타자,,4.0,2.0,2.0,0.0,100.0,1.64,,,,,,,,,0.0,0.0,,,0.0,128853.0
오승환,투수,,64,0,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,10367,110000,2021,타자,,7.0,1.0,5.0,1.0,85.7,0.87,,,,,,,,,0.0,0.0,,,0.0,103673.0
이태훈,1루수,,1,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,13160,3000,2021,타자,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,0.04,,,0.0,131603.0
노성호,투수,,16,0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,11144,7000,2021,타자,,2.0,1.0,1.0,0.0,100.0,0.95,,,,,,,,,0.0,0.0,,,0.0,111443.0
안주형,2루수,,1,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,12988,3300,2021,타자,,1.0,0.0,1.0,0.0,100.0,9.0,0.16,,0.0,,,,,,0.17,23.82,,,0.016,129883.0
백승민,1루수,,3,0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,13241,4700,2021,타자,,3.0,3.0,0.0,0.0,100.0,5.4,-0.43,,0.0,,,,,,-0.42,-15.3,,,-0.042,132413.0
김윤수,투수,,20,1,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,삼성 라이온즈,13162,8000,2021,타자,,3.0,1.0,2.0,0.0,100.0,1.42,,,,,,,,,0.0,0.0,,,0.0,131623.0
이재원,포수,,104,80,,,,,,,,,678.2,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,10082,130000,2021,타자,0.749,596.0,551.0,38.0,7.0,98.8,7.81,-0.34,,-0.8,,-0.04,0.83,1.09,,0.4,0.54,7.15,7.56,0.04,100824.0
최정,3루수,,128,124,,,,,,,,,1029.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,10106,120000,2021,타자,0.304,304.0,83.0,209.0,12.0,96.1,2.55,1.59,,0.27,0.98,0.23,,,,3.07,3.3,0.0,3.07,0.304,101064.0
이현석,포수,,38,25,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,11369,3000,2021,타자,0.295,201.0,184.0,15.0,2.0,99.0,8.14,0.56,,-0.29,,0.08,0.81,-0.32,,0.93,3.44,2.04,2.97,0.093,113694.0
이흥련,포수,,87,38,,,,,,,,,369.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,11108,7000,2021,타자,0.154,324.0,301.0,22.0,1.0,99.7,7.88,-0.26,,0.69,,-0.04,-1.59,-0.82,,-1.76,-2.82,3.31,1.55,-0.175,111084.0
서진용,투수,,65,0,,,,,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,10784,17000,2021,타자,0.0,7.0,2.0,5.0,0.0,100.0,0.94,,,,,,,,,0.0,0.0,0.0,0.0,0.0,107844.0
정진기,중견수,,2,2,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10717,3500,2021,타자,-0.014,5.0,3.0,1.0,1.0,80.0,2.57,0.12,0.23,-0.48,,,,,,-0.14,-0.23,0.0,-0.14,-0.014,107174.0
남태혁,1루수,,6,3,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,12521,3000,2021,타자,-0.105,23.0,21.0,0.0,2.0,91.3,8.22,-0.65,,-0.48,,0.31,,,,-0.82,-9.87,-0.24,-1.06,-0.082,125214.0
고종욱,좌익수,,40,33,,,,,,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,10659,11000,2021,타자,-0.506,29.0,27.0,1.0,1.0,96.6,1.18,-5.16,1.47,-0.31,,,,,,-4.0,-6.54,-1.11,-5.11,-0.396,106594.0
추신수,우익수,,47,47,,,,,,,,,372.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,14888,270000,2021,타자,-0.592,80.0,79.0,0.0,1.0,98.8,1.91,-3.29,-1.02,0.51,,,,,,-3.8,-3.99,-2.18,-5.98,-0.376,148884.0
로맥,1루수,,100,93,,,,,,,,,770.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,12991,90000,2021,타자,-0.764,733.0,690.0,41.0,2.0,99.7,8.54,-0.16,,0.64,,-0.22,,,,0.26,0.34,-7.96,-7.7,0.025,129914.0
김택형,투수,,58,0,,,,,,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,11373,3000,2021,타자,,21.0,6.0,14.0,1.0,95.2,2.39,,,,,,,,,0.0,0.0,,,0.0,113734.0
신재영,투수,,20,1,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,11149,14000,2021,타자,,5.0,3.0,2.0,0.0,100.0,1.59,,,,,,,,,0.0,0.0,,,0.0,111494.0
장지훈,투수,,60,0,,,,,,,,,80.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,14804,3000,2021,타자,,22.0,2.0,18.0,2.0,90.9,2.24,,,,,,,,,0.0,0.0,,,0.0,148044.0
박민호,투수,,40,0,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,11236,10000,2021,타자,,7.0,2.0,5.0,0.0,100.0,1.54,,,,,,,,,0.0,0.0,,,0.0,112364.0
서동민,투수,,20,0,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,13191,3000,2021,타자,,5.0,1.0,4.0,0.0,100.0,1.71,,,,,,,,,0.0,0.0,,,0.0,131914.0
고명준,1루수,,1,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,14807,3000,2021,타자,,2.0,1.0,1.0,0.0,100.0,18.0,0.47,,0.0,,,,,,0.47,22.46,,,0.046,148074.0
김상수,투수,,50,0,,,,,,,,,58.1,,,,,,,,,,,,,,,,,,,,,,,키움 히어로즈,10427,30000,2021,타자,,15.0,4.0,11.0,0.0,100.0,2.31,,,,,,,,,0.0,0.0,,,0.0,104274.0
김태훈,투수,,62,0,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,10133,16000,2021,타자,,6.0,0.0,4.0,2.0,66.7,0.62,,,,,,,,,0.0,0.0,,,0.0,101334.0
정수민,투수,,10,7,,,,,,,,,30.1,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,12561,3600,2021,타자,,4.0,1.0,2.0,1.0,75.0,0.89,,,,,,,,,0.0,0.0,,,0.0,125614.0
하재훈,투수,,18,0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,14147,7000,2021,타자,,5.0,2.0,3.0,0.0,100.0,2.5,,,,,,,,,0.0,0.0,,,0.0,141474.0
조요한,투수,,6,0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,SSG 랜더스,14858,3000,2021,타자,,2.0,1.0,1.0,0.0,100.0,2.57,,,,,,,,,0.0,0.0,,,0.0,148584.0
김태군,포수,,100,76,,,,,,,,,666.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10459,20000,2021,타자,0.983,622.0,568.0,48.0,6.0,99.0,8.32,0.41,,-0.84,,0.25,0.88,3.81,,3.36,4.74,6.55,9.91,0.333,104595.0
박민우,2루수,,49,48,,,,,,,,,384.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11137,63000,2021,타자,0.689,215.0,103.0,109.0,3.0,98.6,4.97,4.6,,0.48,-0.27,,,,,4.81,13.86,2.14,6.95,0.477,111375.0
양의지,포수,,45,38,,,,,,,,,302.1,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10165,150000,2021,타자,0.34,275.0,252.0,20.0,3.0,98.9,8.1,-0.49,,-0.02,,0.14,1.07,-1.49,,-0.34,-0.34,3.77,3.43,-0.033,101655.0
알테어,중견수,,134,129,,,,,,,,,1078.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,14599,110000,2021,타자,0.332,325.0,319.0,4.0,2.0,99.4,2.69,2.77,0.47,0.11,,,,,,3.35,3.37,0.0,3.35,0.332,145995.0
김민수,3루수,,7,1,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,12903,3000,2021,타자,0.07,3.0,0.0,3.0,0.0,100.0,1.59,0.69,,0.01,,,,,,0.7,14.49,0.0,0.7,0.07,129035.0
모창민,1루수,,3,2,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10093,30000,2021,타자,0.042,16.0,15.0,1.0,0.0,100.0,9.0,0.53,,0.01,,,,,,0.55,26.29,-0.12,0.43,0.054,100935.0
박석민,3루수,,47,44,,,,,,,,,330.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10322,70000,2021,타자,0.025,118.0,29.0,81.0,8.0,93.2,2.99,2.32,,-0.75,-0.89,-0.42,,,,0.25,0.62,0.0,0.25,0.025,103225.0
최우재,좌익수,,1,0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,12621,3000,2021,타자,0.023,1.0,1.0,0.0,0.0,100.0,4.5,0.24,,0.0,,,,,,0.24,17.23,-0.01,0.23,0.024,126215.0
정범모,포수,,19,3,,,,,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10772,5000,2021,타자,-0.012,46.0,45.0,1.0,0.0,100.0,7.71,-0.09,,0.17,,,-0.39,-0.41,,-0.6,-4.53,0.48,-0.12,-0.059,107725.0
박대온,포수,,41,27,,,,,,,,,234.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11246,3000,2021,타자,-0.03,219.0,204.0,13.0,2.0,99.1,8.32,0.64,,-0.24,,-0.04,-1.56,-1.91,,-2.53,-8.68,2.23,-0.3,-0.251,112465.0
최보성,3루수,,8,3,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,13087,3000,2021,타자,-0.111,11.0,3.0,6.0,2.0,81.8,2.38,-0.76,,0.03,-0.39,,,,,-1.12,-16.08,0.0,-1.12,-0.111,130875.0
윤형준,1루수,,25,11,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11135,3000,2021,타자,-0.4,103.0,90.0,7.0,6.0,94.2,8.48,-2.79,,-0.41,,0.07,,,,-3.14,-8.86,-0.9,-4.04,-0.311,111355.0
이명기,좌익수,,49,48,,,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10119,27000,2021,타자,-0.692,84.0,80.0,3.0,1.0,98.8,1.97,-4.59,-0.11,-0.15,,,,,,-4.85,-12.48,-2.12,-6.97,-0.481,101195.0
나성범,우익수,,131,130,,,,,,,,,1071.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11162,78000,2021,타자,-0.795,241.0,231.0,5.0,5.0,97.9,1.98,-3.61,1.22,-0.02,,,,,,-2.41,-2.41,-5.61,-8.02,-0.239,111625.0
김건태,투수,,6,0,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10432,8000,2021,타자,,2.0,2.0,0.0,0.0,100.0,2.7,,,,,,,,,0.0,0.0,,,0.0,104325.0
손정욱,투수,,15,0,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11142,4400,2021,타자,,1.0,1.0,0.0,0.0,100.0,0.73,,,,,,,,,0.0,,,,0.0,111425.0
김진성,투수,,41,0,,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11166,20000,2021,타자,,6.0,1.0,5.0,0.0,100.0,1.43,,,,,,,,,0.0,0.0,,,0.0,111665.0
오태양,2루수,,1,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,14766,3000,2021,타자,,1.0,1.0,0.0,0.0,100.0,9.0,0.68,,0.0,,,,,,0.68,98.22,,,0.068,147665.0
이용찬,투수,,38,0,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10217,10000,2021,타자,,6.0,1.0,4.0,1.0,83.3,1.22,,,,,,,,,0.0,0.0,,,0.0,102175.0
원종현,투수,,61,0,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11161,30000,2021,타자,,9.0,3.0,5.0,1.0,88.9,1.36,,,,,,,,,0.0,0.0,,,0.0,111615.0
이우석,투수,,10,0,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11360,3000,2021,타자,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,113605.0
김영규,투수,,37,8,,,,,,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,13088,8300,2021,타자,,21.0,5.0,16.0,0.0,100.0,2.97,,,,,,,,,0.0,0.0,,,0.0,130885.0
안인산,투수,,7,0,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,14598,3000,2021,타자,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,145985.0
임창민,투수,,46,0,,,,,,,,,40.1,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10452,14000,2021,타자,,8.0,3.0,5.0,0.0,100.0,1.79,,,,,,,,,0.0,0.0,,,0.0,104525.0
임정호,투수,,57,0,,,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11168,13000,2021,타자,,8.0,2.0,6.0,0.0,100.0,2.08,,,,,,,,,0.0,0.0,,,0.0,111685.0
신민혁,투수,,30,25,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,13085,4000,2021,타자,,22.0,7.0,13.0,2.0,90.9,1.24,,,,,,,,,0.0,0.0,,,0.0,130855.0
오장한,우익수,,1,0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,14767,3000,2021,타자,,1.0,1.0,0.0,0.0,100.0,4.5,0.08,0.01,0.0,,,,,,0.1,14.12,,,0.01,147675.0
배민서,투수,,32,2,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,14158,3100,2021,타자,,8.0,3.0,4.0,1.0,87.5,1.58,,,,,,,,,0.0,0.0,,,0.0,141585.0
강윤구,투수,,1,1,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,롯데 자이언츠,10423,10000,2021,타자,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,104235.0
홍성민,투수,,52,0,,,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,10814,11000,2021,타자,,14.0,3.0,11.0,0.0,100.0,3.05,,,,,,,,,0.0,0.0,,,0.0,108145.0
류진욱,투수,,44,0,,,,,,,,,43.1,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11355,3000,2021,타자,,11.0,4.0,7.0,0.0,100.0,2.28,,,,,,,,,0.0,0.0,,,0.0,113555.0
최금강,투수,,20,0,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,11174,10000,2021,타자,,4.0,0.0,4.0,0.0,100.0,1.29,,,,,,,,,0.0,0.0,,,0.0,111745.0
김태현,투수,,6,0,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,12898,3000,2021,타자,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,128985.0
노시훈,투수,,5,0,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,NC 다이노스,14649,3000,2021,타자,,1.0,1.0,0.0,0.0,100.0,1.93,,,,,,,,,0.0,0.0,,,0.0,146495.0
박세혁,포수,,96,73,,,,,,,,,575.1,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10891,26000,2021,타자,0.765,549.0,495.0,50.0,4.0,99.3,8.53,0.32,,0.36,,-0.24,-0.11,1.67,,1.5,2.25,6.22,7.71,0.148,108911.0
김재호,유격수,,83,63,,,,,,,,,543.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10174,60000,2021,타자,0.583,262.0,108.0,150.0,4.0,98.5,4.28,1.61,,0.38,-0.95,,,,,1.04,1.68,4.84,5.88,0.103,101741.0
장승현,포수,,91,57,,,,,,,,,505.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,11097,3800,2021,타자,0.524,466.0,429.0,33.0,4.0,99.1,8.23,0.24,,-0.36,,0.18,0.81,-0.84,,0.26,0.41,5.02,5.28,0.026,110971.0
정수빈,중견수,,103,77,,,,,,,,,731.2,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10195,60000,2021,타자,0.082,223.0,218.0,4.0,1.0,99.6,2.73,0.64,-0.06,0.25,,,,,,0.82,1.14,0.0,0.82,0.082,101951.0
국해성,우익수,,3,1,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10172,5000,2021,타자,0.022,2.0,2.0,0.0,0.0,100.0,1.38,0.28,,0.02,,,,,,0.29,10.62,-0.07,0.22,0.029,101721.0
황경태,2루수,,1,0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,12604,3100,2021,타자,-0.078,3.0,2.0,0.0,1.0,66.7,4.5,-0.8,,0.01,,,,,,-0.8,-114.92,0.01,-0.79,-0.079,126041.0
페르난데스,1루수,,18,17,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,13927,60000,2021,타자,-0.432,115.0,107.0,5.0,3.0,97.4,7.2,-2.76,,0.12,,-0.19,,,,-2.84,-2.9,-1.52,-4.36,-0.282,139271.0
허경민,3루수,,130,116,,,,,,,,,984.2,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10184,100000,2021,타자,-1.003,261.0,92.0,161.0,8.0,96.9,2.31,-9.18,,-0.76,0.01,-0.19,,,,-10.12,-10.72,0.0,-10.12,-1.003,101841.0
김재환,좌익수,,126,125,,,,,,,,,948.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10643,76000,2021,타자,-1.165,207.0,199.0,4.0,4.0,98.1,1.93,-4.29,-1.11,-1.14,,,,,,-6.54,-6.87,-5.21,-11.75,-0.648,106431.0
양석환,1루수,,127,125,,,,,,,,,1014.1,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,11213,21000,2021,타자,-1.472,920.0,854.0,58.0,8.0,99.1,8.09,-5.02,,0.34,,0.34,,,,-4.34,-4.7,-10.5,-14.84,-0.431,112131.0
김강률,투수,,50,0,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,10690,11000,2021,타자,,11.0,4.0,7.0,0.0,100.0,1.92,,,,,,,,,0.0,0.0,,,0.0,106901.0
이승진,투수,,46,0,,,,,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,12678,10000,2021,타자,,8.0,2.0,5.0,1.0,87.5,1.3,,,,,,,,,0.0,0.0,,,0.0,126781.0
박소준,투수,,22,5,,,,,,,,,59.2,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,11491,3500,2021,타자,,10.0,3.0,6.0,1.0,90.0,1.36,,,,,,,,,0.0,0.0,,,0.0,114911.0
박치국,투수,,23,0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,12850,16000,2021,타자,,6.0,2.0,4.0,0.0,100.0,2.45,,,,,,,,,0.0,,,,0.0,128501.0
남호,투수,,4,0,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,두산 베어스,14139,3300,2021,타자,,1.0,0.0,1.0,0.0,100.0,3.38,,,,,,,,,0.0,0.0,,,0.0,141391.0
